id,name,sex,height,weight,team
15110,"Barend ""Ben"" Bril",M,,,Netherlands
15111,Frank Peter Brilando,M,,,United States
15112,Melissa Jane Briley (-Mieras),F,160,50,United States
15113,"Deborah ""Debbie"" Brill (-Coleman)",F,175,59,Canada
15114,Martin Leonard Brill,M,182,69,New Zealand
15115,"Stephen ""Steve"" Brimacombe",M,180,75,Australia
15116,Alhassan Brimah,M,177,71,Ghana
15117,Romeo Brin,M,170,64,Philippines
15118,"John Manning ""Jack"" Brinck",M,189,83,United States
15119,Maxime Brinck-Croteau,M,178,83,Canada
15120,Antnio Brinco,M,184,90,Portugal
15121,"Roderic Jean ""Rod"" Brind'Amour",M,185,91,Canada
15122,Dominic Brindle,M,170,67,Great Britain
15123,"Douglas Stanley ""Doug"" Brinham",M,,,Canada
15124,"David Liddell ""Dave"" Brink",M,186,77,United States
15125,Jan-Erik Christer Brink,M,186,73,Sweden
15126,Johannes Harmen Brink,M,,,Netherlands
15127,Per Jrgen Brink,M,183,81,Sweden
15128,Julius Brink,M,186,85,Germany-2
15129,Anja Brinker,F,152,39,Germany
15130,Christine Brinker-Wenzel,F,171,63,Germany
15131,Brian Brinkley,M,190,79,Great Britain
15132,Bert Brinkman,M,185,83,Netherlands
15133,Erna Augusta Brinkman,F,184,70,Netherlands
15134,Jacques Brinkman,M,182,75,Netherlands
15135,Dirk Brinkmann,M,184,79,West Germany
15136,Thomas Brinkmann,M,181,76,West Germany
15137,"Wilhelm ""Willi"" Brinkmann",M,,,Germany
15138,Wolfgang Brinkmann,M,178,79,West Germany
15139,Norman Brinkworth,M,180,70,Pakistan
15140,Sion D. Brinn,M,187,83,Jamaica
15141,Moira Martha Brinnand,F,166,56,Argentina
15142,"Vladimir ""Vlado"" Brinovec",M,172,73,Yugoslavia
15143,David John Brinton,M,175,65,United States
15144,Jorge Briola,M,,,Argentina
15145,Leopoldo Briola,M,,95,Argentina
15146,Eugenie Louise Briollet (-Gehin),F,,,France
15147,Jorge Gerardo Brion,M,,,Netherlands Antilles
15148,Enrique Briones Prez de la Blanca,M,188,85,Spain
15149,Juan Flipe Briones Goich,M,176,72,Chile
15150,Rosario Briones,F,127,42,Mexico
15151,Valerie Ann Brisco-Hooks,F,170,62,United States
15152,"Anthony Wellesley ""Tony"" Briscoe",M,,,South Africa
15153,Pedro Brise,M,,,Argentina
15154,Jacqueline Brisepierre (-Gaugey),F,170,61,France
15155,Marc Brisfer,M,190,90,France
15156,Khristos Brisimitzakis,M,,,Panhellenios Gymnastikos Syllogos-1
15157,"Joseph Gerard ""Joe"" Briski",M,185,86,United States-1
15158,Kevin James Brislin,M,188,79,Australia
15159,Laurent Brissaud,M,181,75,France
15160,David Brisseault,M,185,95,France
15161,ric Brisson,M,182,82,Canada
15162,Franois Brisson,M,174,70,France
15163,Thrse Anne Brisson,F,170,68,Canada
15164,Arnaldo Bristol Sabater,M,180,74,Puerto Rico
15165,Bertrand Bristol,M,186,72,Seychelles
15166,Thomas Richard Martin Bristow,M,,,Great Britain
15167,Vronique Brisy,F,164,54,Belgium
15168,Barbara Ann Britch (-Craig),F,167,59,United States
15169,Summer Britcher,F,180,71,United States
15170,Cludio Oliveira Brito,M,,,Brazil
15171,Gustavo Brito,M,173,70,Puerto Rico
15172,Jacinto Brito Villegas,M,176,68,Mexico
15173,Leidys Milagros Brito,F,169,52,Venezuela
15174,Roberto Brito,M,178,74,Mexico
15175,Marcela Valeria Britos,F,167,57,Uruguay
15176,Alexandru Britov,M,,,Unified Team
15177,Grant Tyson Brits,M,188,80,Australia
15178,Okkert Brits,M,198,96,South Africa
15179,Stefan Brits,M,183,72,South Africa
15180,Jan Gerard Britstra,M,,,Netherlands
15181,Lawrence Brittain,M,187,94,South Africa
15182,Matthew Brittain,M,186,70,South Africa
15183,"Arthur Stanley ""Stan"" Brittain",M,,,Great Britain
15184,Caroline Susan Brittan,F,165,48,Great Britain
15185,Sbastien Britten,M,172,64,Canada
15186,Christian Brittig,M,181,80,West Germany
15187,Bernhard Britting,M,189,88,Germany
15188,Warren George Brittingham,M,,,Christian Brothers' College-1
15189,Jack Britto,M,,,Pakistan
15190,Halland Britton,M,,,Great Britain
15191,Richard Britton,M,,,Grenada
15192,Fionnuala Britton-McCormack,F,159,46,Ireland
15193,Bernhard Rudolf Britz,M,,,Sweden
15194,Silvio Brivio,M,,,Italy
15195,"Antonio ""Tonino"" Brivio Sforza",M,,,Italy-1
15196,Aage Emil Brix,M,,,United States
15197,Herman Harold Brix,M,190,100,United States
15198,Petr Bza,M,184,80,Czechoslovakia
15199,Laurence Brize,F,158,55,France
15200,Eva Bzov,F,,,Czechoslovakia
15201,Daniel Eduardo Brizuela,M,170,57,Argentina
15202,John Paul Brizzel,M,182,71,Ireland
15203,Umberto Brizzi,M,,60,Italy
15204,Ivana Brkljai,F,170,82,Croatia
15205,Mio Brkovi,M,186,80,Yugoslavia
15206,Barbara Brlec,F,,,Slovenia
15207,Vlastimil Brlica,M,172,66,Czechoslovakia
15208,Marijan Brni,M,182,76,Yugoslavia
15209,Dragoljub Brnovi,M,173,74,Yugoslavia
15210,Sarah Bro,F,177,64,Denmark
15211,Neil Broad,M,191,87,Great Britain
15212,Annie Broadbent,F,,,Great Britain
15213,"Robert Arthur ""Bob"" Broadbent",M,,,Australia
15214,"Alfred George ""Al"" Broadhurst",M,,,United States
15215,Rex Brobby,M,170,72,Ghana
15216,Brittany Broben,F,163,52,Australia
15217,Gunnar Olof Sophus Broberg,M,179,73,Sweden
15218,Carl Gustaf Gideon Broberg,M,,,Gteborgs Roddklubb-1
15219,Tejs Broberg,M,,,Denmark
15220,Elisa Brocard,F,162,51,Italy
15221,Yvette Broch,F,184,73,Netherlands
15222,Mariana Nery Brochado,F,174,62,Brazil
15223,Laurent Brochard,M,180,68,France
15224,Paul Brochart,M,,,Belgium
15225,Kevin John Brochman,M,,,United States
15226,Eric Brochon,M,,,Switzerland
15227,Allison M. Brock,F,168,59,United States
15228,Calvin Vance Brock,M,185,101,United States
15229,Nils Hkan Brock,M,198,91,Sweden
15230,"George Melbourne ""Mel"" Brock",M,181,78,Canada
15231,Mirtha Brock Forbes,F,159,60,Colombia
15232,Ulrik Lennart Brock,M,188,84,Denmark
15233,Robin John Brock-Hollinshead,M,,,Great Britain
15234,Nicolai Brock-Madsen,M,194,88,Denmark
15235,Patricia Brocker (Grigoli-),F,165,55,Germany
15236,Belle Brockhoff,F,170,70,Australia
15237,Peter Brockhoff,M,,,Australia
15238,"Ella Gertrud Auguste ""Ellen"" Brockhft (Rehra-, -Henseler)",F,,,Germany
15239,Jeremy Russell Brockie,M,183,82,New Zealand
15240,Norman Brckl,M,183,90,Germany
15241,Andreas Brockmann,M,177,77,Germany
15242,Anke Brockmann (-Grueneberg),F,169,60,Germany
15243,Hermanus Gerardus Brockmann,M,,60,Minerva Amsterdam
15244,Oscar Bernard Brockmeyer,M,,,Christian Brothers' College-1
15245,Gerhard Brockmller,M,174,68,East Germany
15246,Hendrik Brocks,M,172,66,Indonesia
15247,William John Brockway,M,,,Great Britain
15248,Maria Brodacka (Moszczeska-),F,,,Poland
15249,Sverre Brodahl,M,,,Norway
15250,Trygve Brodahl,M,,,Norway
15251,Bernd Brodar,M,184,76,Austria
15252,Nejc Brodar,M,180,70,Slovenia
15253,Charles Christian Brodbeck,M,,,Switzerland
15254,Eskil Augustinus Brodd,M,,,Sweden
15255,Rolf Yngve Brodd,M,,,Sweden
15256,Adam Brodecki,M,179,70,Poland
15257,Walter Emil Brdel,M,,,Saar
15258,Jamie Lynn Broder,F,172,65,Canada-2
15259,"William Denis ""Billy"" Broderick",M,,,Ireland
15260,Greg Patrick Broderick,M,180,50,Ireland
15261,"John Charles ""Jack"" Broderick",M,,,Canada
15262,"Kenneth Lorne ""Ken"" Broderick",M,180,79,Canada
15263,Joseph Germain Stanislaus Denis Brodeur,M,165,70,Canada
15264,Martin Pierre Brodeur,M,188,95,Canada
15265,"David Leitch Smellie ""Dave"" Brodie",M,,,Great Britain
15266,Leith Brodie,M,187,84,Australia
15267,"Michael Warren ""Mike"" Brodie",M,178,62,United States
15268,Scott James Brodie,M,193,91,Canada
15269,Shayne Brodie,M,,,Fiji
15270,Ty Shannon Brodie,M,,,Antigua and Barbuda
15271,Claude Brodin,M,169,62,France
15272,Frans Gsta Brodin,M,,,Slaghoken
15273,Ingrid Helena Brodin,F,173,58,Sweden
15274,Jacques Brodin,M,180,77,France
15275,Zbigniew Marcin Brdka,M,183,85,Poland
15276,Mario Brodmann,M,176,80,Switzerland
15277,Daniel Brodmeier,M,180,100,Germany
15278,Charles Eric Brodnax,M,177,64,United States Virgin Islands
15279,Janez Brodnik,M,172,68,Yugoslavia
15280,Joe Brodnik,M,189,84,Yugoslavia
15281,Karsten Brodowski,M,205,104,Germany
15282,Sebastian Brodrick,M,170,68,Nigeria
15283,Angela Brodtka (-Hennig),F,162,52,Germany
15284,Birger Brodtkorb,M,175,73,Norway
15285,Eilif Magnus Brodtkorb,M,186,83,Norway
15286,Gyrgy Brdy,M,185,,Hungary
15287,Desmond Broe,M,,,Ireland
15288,Tim Broe,M,180,68,United States
15289,"Joseph ""Jos"" Broeckx",M,185,76,Belgium
15290,Paul Broeckx,M,182,73,Belgium
15291,Ilse Maria Broeders,F,172,68,Netherlands-2
15292,Ryan Broekhoff,M,201,93,Australia
15293,"Cornelis ""Kees"" Broekman",M,,,Netherlands
15294,Jzef Jan Andrzej Joachim Plater (Broel-Plater),M,,,Poland
15295,"Barbara ""Barb"" Broen-Ouelette",F,176,64,Canada
15296,Jan-Martin Brer,M,199,97,Germany
15297,Gerben Gerardus Johannes Broeren,M,196,80,Netherlands
15298,Lon P. Broers,M,,,Belgium
15299,Nadine Martina Broersen,F,171,62,Netherlands
15300,"Adolph ""Dolf"" Broese van Groenou",M,,,Netherlands
15301,Michelle Kathleen Brogan-Griffiths,F,186,80,Australia
15302,Alastair Richard Brogdon,M,183,76,Great Britain
15303,"Cynthia Jane ""Cindy"" Brogdon",F,177,70,United States
15304,"Alessandro ""Sandro"" Brogini",M,186,73,Italy
15305,Per-Olof Allan Brogren,M,,,Sweden
15306,Joachim Brohmann,M,168,66,East Germany
15307,Michel Broillet,M,172,90,Switzerland
15308,Isaac Irving Brokaw,M,,,United States
15309,"Kenneth L. ""Kenny"" Brokenburr",M,179,77,United States
15310,"Adriaan Walter ""Jani"" Brokke",M,,,Netherlands Antilles
15311,Shimshon Brokman,M,168,70,Israel
15312,Raivis Broks,M,192,102,Latvia
15313,Enrique Brol Cardenas,M,181,73,Guatemala
15314,Hebert Brol Cardenas,M,181,80,Guatemala
15315,Jean-Pierre Brol Cardenas,M,179,91,Guatemala
15316,Per Johan Brolenius,M,176,82,Sweden
15317,Per Tomas Brolin (Eriksson-),M,178,75,Sweden
15318,Otto R. Brolo Hernndez,M,181,79,Guatemala
15319,Bertel Axel Hjalmar Broman,M,,,Finland
15320,Susan Mirjam Broman (-Lnnqvist),F,164,55,Finland
15321,Vin Harry Broman,M,185,80,Finland
15322,"Pieter Marie Johan ""Piet"" Bromberg",M,,,Netherlands
15323,Peter Frederick Bromby,M,193,114,Bermuda
15324,Zdzisaw Bromek,M,187,84,Poland
15325,Trayvon Jaquez Bromell,M,175,70,United States
15326,Viktor Bregner Bromer,M,194,87,Denmark
15327,Joanne Rachel Bromfield,F,165,63,Great Britain
15328,George Joseph Bromilow,M,,,Great Britain
15329,"Joseph M. Bromilow, Jr.",M,174,63,United States
15330,Kristan Lee Bromley,M,178,78,Great Britain
15331,"Edward Robert ""Ted"" Bromley",M,,,Australia
15332,Max Bromme,M,,,Germany
15333,"Almuth ""Almut"" Brmmel",F,176,80,Germany
15334,Fritz Johan Charles Brommesson,M,,,Sweden
15335,Henryk Bromowicz (Brommer),M,,,Poland
15336,Sigurd Erik Brms,M,,,Sweden
15337,Otto Bron,M,,,Switzerland
15338,Lon Auguste Marie Bronckaert,M,,,Belgium
15339,Jean-Claude Brondani,M,195,101,France
15340,"Sandra Anne ""Sandy"" Brondello",F,170,62,Australia
15341,Monika Bronicka,F,168,66,Poland
15342,Jerzy Leon Broniec,M,187,82,Poland
15343,Irmela Broniecki,F,170,58,West Germany
15344,Kajetan Tomasz Broniewski,M,187,92,Poland
15345,Adam Pawe Bronikowski,M,201,94,Poland
15346,Franciszek Jan Bronikowski,M,,,Poland
15347,Roman Broni,M,187,74,Slovakia
15348,Paul Bronner,M,,,France
15349,John Bryan Bronson,M,183,80,United States
15350,Andreas Bronst,M,171,65,East Germany
15351,Giorgia Bronzini,F,160,54,Italy
15352,Carole Brook (-Massarotti),F,172,60,Switzerland
15353,Donald William Brook,M,175,92,Australia
15354,"Ralph Ellis ""Robin"" Brook",M,,,Great Britain
15355,Tracy Lee Brook,F,,,Australia
15356,"Robert Wesley ""Bob"" Brooke",M,188,94,United States
15357,Edward Hugh Brooke,M,,,Canada
15358,Geoffrey Francis Heremon Brooke,M,,,Great Britain
15359,Geoffrey Arthur George Brooke,M,,,Great Britain
15360,Harold Brooke,M,182,87,Gabbiano
15361,Julian Brooke-Houghton,M,190,83,Great Britain
15362,Barry Brooker,M,168,56,Canada
15363,"Charles ""Charlie"" Brooker",M,185,83,Canada
15364,"James Kent ""Jim"" Brooker",M,180,,United States
15365,Todd Brooker,M,,,Canada
15366,"Wesley ""Wes"" Brooker",M,183,73,Canada
15367,Edward Williams Hamilton Brookfield,M,,,Great Britain
15368,Graham Raymond Brookhouse,M,182,73,Great Britain
15369,Charles Robert Brookins,M,175,64,United States
15370,Vera Evelyn Brookman,F,,,Great Britain
15371,Belinda Brooks,F,176,75,Australia
15372,Brandon Brooks,M,198,111,United States
15373,"Charles David ""Charlie"" Brooks",M,,,Great Britain
15374,"Christopher Dean ""Chris"" Brooks",M,173,75,United States
15375,Clifford Brooks,M,181,80,Barbados
15376,"David Alan ""Dave"" Brooks",M,175,68,United States
15377,Dennis Brooks,M,170,67,Cayman Islands
15378,"Edmond ""Eddie"" Brooks",M,188,83,Australia
15379,Freddy Brooks Bong,M,187,84,Cuba
15380,Gareth Norman Brooks,M,173,69,New Zealand
15381,"Herbert Paul ""Herb"" Brooks",M,186,98,United States
15382,Holly Brooks (-Whitney),F,168,61,United States
15383,Jacqueline Brooks,F,175,66,Canada
15384,John William Brooks,M,170,66,United States
15385,Lance Brooks,M,198,123,United States
15386,"Nathan Eugene ""Nate"" Brooks",M,,,United States
15387,Neil Brooks,M,198,96,Australia
15388,Norman Standish Brooks,M,,,Great Britain
15389,Quentin Thomas Brooks,M,,,United States
15390,Sheri-Ann Brooks,F,168,55,Jamaica
15391,"Stephen Harrington ""Steve"" Brooks",M,191,90,United States
15392,Tia Ra'shone Brooks,F,183,109,United States
15393,Tony Dean Brooks,M,191,82,United States
15394,Travis Neil Brooks,M,186,79,Australia
15395,Victor Brooks,M,177,71,Jamaica
15396,Reginald Brooks-King,M,,,Great Britain
15397,"Dorothy Elizabeth Anne ""Dot"" Brookshaw (-Marr)",F,,,Canada
15398,Robert Sidney Brookson,M,186,80,Canada
15399,David McPherson Broome,M,175,64,Great Britain
15400,Ralph Edward Howard Broome,M,,,Great Britain-1
15401,Susan Sharp Broome,F,185,70,United States
15402,Wendell W. Broomhall,M,,,United States
15403,"Augustinus Ludovicus ""Auguste"" Broos",M,,,Belgium
15404,"Henricus Adrianus ""Harry"" Broos",M,,,Netherlands
15405,Marguerite Marie Broquedis-Billout (-Bordes),F,,,France
15406,Kristina Brring-Sprehe,F,168,54,Germany
15407,Christiaan Adolf Willem Brosch,M,,,Netherlands
15408,Rudolf Brosch,M,,,Austria
15409,Peter Broscienski,M,,,West Germany
15410,Dario Brose,M,170,70,United States
15411,"Carleton Lyman ""Carl"" Brosius",M,,97,United States
15412,"John Teahan ""Jack"" Brosius, III",M,183,81,United States
15413,Klaus-Ludwig Brosius,M,190,78,West Germany
15414,Max Brske,M,,,Berliner Ruderverein von 1876-2
15415,Gabriela Broskov (Zamikov-),F,167,56,Slovakia
15416,Alex Jason Brosque,M,183,70,Australia
15417,Edmond Brossard,M,,,France
15418,Jean-Olivier Brosseau,M,172,61,France
15419,G. Brosselin,M,,,France
15420,Eve-Henriette Brossin de Mre-de Polanska,F,,,France
15421,Ren Brossy,M,,,France
15422,Todd Anthony Brost,M,172,79,Canada
15423,Neal LaMoy Broten,M,175,70,United States
15424,Paul Brotherton,M,168,65,Great Britain
15425,Peter Frederick Brotherton,M,,,Great Britain
15426,Alexander Brott,M,,,Canada
15427,Juan Brotto,M,183,79,Argentina
15428,Bartholomus Brtzner,M,178,78,Austria
15429,"Bartholomus ""Bartl"" Brtzner",M,170,67,Austria
15430,Josef Brtzner,M,170,68,Austria
15431,Kouassi Franck Olivier Brou,M,186,70,Cote d'Ivoire
15432,Bruno Broucqsault,M,170,69,France
15433,"Gregory John ""Greg"" Brough",M,187,79,Australia
15434,Joel Elisabeth Brough,F,165,59,Canada
15435,Henry Brougham,M,,,Great Britain
15436,Julie Brougham,F,157,48,New Zealand
15437,Gayle Broughton,F,174,70,New Zealand
15438,Jonathan Broughton,M,196,80,Great Britain
15439,Lucien Antoine Brouha,M,,,Belgium
15440,Eva Kristina Birgitta Brounus,F,176,63,Sweden
15441,Vronique Brouquier,F,170,58,France
15442,Rikhardos Brousalis,M,,,Greece
15443,Hugues Broussard,M,,,France
15444,Roger Brousse,M,,,France
15445,Gino Brousseau,M,190,85,Canada
15446,Alexander Brouwer,M,198,88,Netherlands-1
15447,Carolijn Marille Brouwer,F,182,63,Netherlands
15448,Cornelis Lambertus Brouwer,M,,,Netherlands
15449,Emanuel Brouwer,M,,,Netherlands
15450,"Melchior Hendrik ""Henk"" Brouwer",M,191,70,Netherlands
15451,Matthijs Christian Brouwer,M,185,81,Netherlands
15452,"Bertha ""Puck"" Brouwer (-van Duyne)",F,174,73,Netherlands
15453,Ronald Leendert Brouwer,M,177,75,Netherlands
15454,Wouter Brouwer,M,,,Netherlands
15455,Marco Brouwers,M,199,105,Netherlands
15456,Jean-Marcel Brouzes,M,193,71,France
15457,Juste Brouzes,M,,,France
15458,Yves Brouzet,M,198,150,France
15459,Tore Brovold,M,175,,Norway
15460,Aaron Brown,M,198,79,Canada
15461,"Abigail ""Abbie"" Brown",F,176,71,Great Britain
15462,Adam Thorp Brown,M,196,95,Great Britain
15463,Alice Regina Brown (-Harris),F,159,59,United States
15464,Alicia Brown,F,165,57,Canada
15465,Allan Thurston Brown,M,190,101,South Africa
15466,Andrew Nathaniel Brown,M,174,61,New Zealand
15467,Archibald Manning Brown,M,,,United States
15468,Audrey Kathleen Kilner Brown (-Court),F,,,Great Britain
15469,Barbara Marie Brown,F,153,48,United States-3
15470,Barbara A. Brown,F,180,62,United States
15471,Barry Ross Brown,M,196,91,United States
15472,Benjamin Chambers Brown,M,,,United States
15473,"Benjamin Gene ""Benny"" Brown",M,180,74,United States
15474,"William C. ""Bill"" Brown",M,,,Great Britain
15475,"William Tennant ""Billy"" Brown",M,190,75,United States
15476,"Robert Henry ""Bobby"" Brown",M,180,73,Great Britain
15477,Bobby Brown,M,188,82,United States
15478,"William Vincent ""Buddy"" Brown",M,175,62,United States
15479,Colin Campbell Brown,M,,,United States
15480,Carol Page Brown,F,172,67,United States
15481,Celeste Brown,F,168,71,Cook Islands
15482,Charles Erwin Brown,M,186,89,United States
15483,Charles R. Brown,M,,,Canada
15484,Charles Brown,M,,,United States
15485,Charles H. Brown,M,,,Great Britain
15486,"Charles ""Charlie"" Brown",M,168,57,United States
15487,"Christopher Effield ""Chris"" Brown",M,174,65,New Zealand
15488,"Christopher Deon ""Chris"" Brown",M,178,75,Bahamas
15489,Christian E. Brown,M,180,86,United States Virgin Islands
15490,Cindy Joslyn Brown,F,174,70,South Africa
15491,"Cynthia Louise ""Cindy"" Brown",F,188,75,United States
15492,Clayton Wayne Brown,M,190,81,Canada
15493,Colton Brown,M,183,91,United States
15494,"Peter William ""Corrie"" Brown",M,155,85,Great Britain-1
15495,Courtney Brown,M,176,70,Canada
15496,Craig Brown,M,170,70,United States
15497,Craig Brown,M,182,82,Great Britain
15498,Craig Brown,M,180,76,Great Britain
15499,"Christopher ""Cris"" Brown",M,176,79,Australia
15500,Robert Dale Brown,M,185,80,Canada
15501,Damian Gerard Brown,M,178,76,Australia
15502,Darrel Rondel Brown,M,179,85,Trinidad and Tobago
15503,"David Preston ""Dave"" Brown",M,,,United States
15504,David Brown,M,,,Canada
15505,Denise Brown (-Hinton),F,175,64,Great Britain
15506,Derek Dwane Brown,M,188,79,United States
15507,Devon Myles William Brown,M,188,80,South Africa
15508,"Doris Elaine Brown (Severtson-, -Heritage)",F,163,51,United States
15509,"Charles Douglas ""Doug"" Brown",M,188,69,United States
15510,Dustin Brown,M,196,78,Germany
15511,Dustin James Brown,M,183,94,United States
15512,Earl Brown,M,208,100,Puerto Rico
15513,Earlene Brown (Dennis-),F,175,114,United States
15514,Edson L. Brown,M,,,United States
15515,Eric Brown,M,,89.5,American Samoa
15516,Erika Lynn Brown,F,170,64,United States
15517,Fitzroy Brown,M,173,58,Guyana
15518,Frank Ruthers Brown,M,,,Canada
15519,Frank Elliott Brown,M,,,United States
15520,Fraser Brown,M,183,76,Ireland
15521,"Geoffrey ""Geoff"" Brown",M,186,93,Canada
15522,George H. Brown,M,,,Ceres II
15523,"George Henry Brown, Jr.",M,185,79,United States
15524,Gilberto Willmount Brown,M,188,75,United States Virgin Islands
15525,Gillian M. Brown,F,165,60,Great Britain
15526,Arthur Godfrey Kilner Brown,M,183,70,Great Britain
15527,Graeme Allen Brown,M,177,75,Australia
15528,Greg Curtis Brown,M,183,86,United States
15529,"Horace Hallock ""Hal"" Brown",M,172,66,United States
15530,Harold Brown,M,,,Great Britain
15531,Henry Joseph Brown,M,,,Ireland-2
15532,Hugh Brown,M,,,Great Britain
15533,Ian Warwick Brown,M,184,70,Australia
15534,Ian Robert Brown,M,186,74,Australia
15535,Ivan Elmore Brown,M,,,United States-1
15536,Jacqueline Elizabeth Brown,F,167,52,Great Britain
15537,Jason Brown,M,170,61,United States
15538,Jeremiah Brown,M,198,106,Canada
15539,"James R. ""Jim"" Brown",M,,,Canada
15540,"Joanne ""Jo"" Brown (-Alchin)",F,174,72,Australia
15541,Harold John Catleugh Brown,M,175,85,Great Britain-2
15542,"Jonathan W. ""Jon"" Brown",M,200,98,United States
15543,"Jonathan Michael ""Jon"" Brown",M,175,57,Great Britain
15544,Jorge Diego Brown,M,,,Covunco III
15545,"Joseph ""Joe"" Brown",M,,,United States
15546,"Judith Lynne ""Judi"" Brown (-King, -Clarke)",F,180,67,United States
15547,Julie Ann Brown,F,168,49,United States
15548,Karen Brown,F,170,56,Great Britain
15549,Kelly Brown,F,152,45,Canada
15550,Ashani Kemarley Brown,M,182,85,Bahrain
15551,Kendall Brown,F,153,43,New Zealand
15552,Kerrith S. Brown,M,175,71,Great Britain
15553,Kiel Brown,M,172,72,Australia
15554,Kyle Gie Brown,M,182,92,South Africa
15555,"Lawrence Harvey ""Larry"" Brown",M,178,73,United States
15556,Lascelles Oneil Brown,M,182,100,Jamaica
15557,Laura Brown,F,167,61,Canada
15558,"Laurence Leslie ""Laurie"" Brown",M,179,78,Great Britain
15559,Leroy Taylor Brown,M,178,64,United States
15560,Mackenzie Brown,F,178,75,United States
15561,Majella Brown,F,187,80,Australia
15562,Martyn Brown,M,176,71,Great Britain
15563,"Matthew Benjamin ""Matt"" Brown",M,182,93,United States
15564,"Melvin ""Mel"" Brown",M,,,Canada
15565,Michael Brown,M,179,74,Canada
15566,"Michael Andrew ""Mike"" Brown",M,185,87,Canada
15567,Mitchell Brown,M,169,74,New Zealand
15568,Moira Catherine Brown,F,171,67,Great Britain
15569,Norman Brown,M,178,76,Great Britain
15570,"Philip ""Phil"" Brown",M,182,87,Canada
15571,"Philip Andrew ""Phil"" Brown",M,180,73,Great Britain
15572,"Geoffrey Raymond ""Ray"" Brown",M,170,63,Australia
15573,Raymond Brown,M,190,84,Canada
15574,Rebecca Kate Brown,F,177,62,Australia
15575,Reynaldo Ray Brown,M,193,89,United States
15576,Robert Harry Brown,M,,,Great Britain
15577,Roberta Joanne Brown,F,175,69,United States
15578,Rodney Brown,M,180,77,Australia
15579,Roger Fergus Brown,M,203,93,Great Britain
15580,"Ronald James ""Ron"" Brown",M,180,84,United States
15581,"Rosemary Edith Brown (-Alexander, -Fydler)",F,173,62,Australia
15582,Sandra Elizabeth Brown (-Webb),F,180,70,Australia
15583,Shandria Brown,F,168,63,Bahamas
15584,Shelley-Ann Brown,F,173,75,Canada-2
15585,Simon Brown,M,,,Australia
15586,Stephen James Brown,M,190,83,Great Britain
15587,"Stephen ""Steve"" Brown",M,188,87,Trinidad and Tobago
15588,Steven Brown,M,169,66,Australia
15589,"Susan ""Sue"" Brown",F,157,44,Great Britain
15590,Sydney Stephen Brown,M,,,Canada
15591,T'erea Brown,F,175,64,United States
15592,"Ellison Myers ""Tarzan"" Brown",M,170,63,United States
15593,"Terrezene ""Terri"" Brown",F,174,61,United States
15594,"Timothy Tuttle ""Tim"" Brown",M,,,United States
15595,"Christina ""Tina"" Brown",F,183,77,United States
15596,"Thomas Granville ""Tom"" Brown",M,,,United States
15597,Travis Brown,M,183,74,United States
15598,Trevor Michael Brown,M,170,67,Australia
15599,Victoria Brown,F,183,76,Australia
15600,Victoria Brown,F,,,Great Britain
15601,Vivian Dolores Brown (-Reed),F,173,63,United States
15602,Walter William Brown,M,,,Australia
15603,Wendy Renee Brown,F,180,70,United States
15604,Will Brown,M,170,61,United States
15605,"Elizabeth ""Lisa"" Brown-Miller",F,155,57,United States
15606,Stephanie Karenmonica Brown-Trafton,F,193,100,United States
15607,Alfred Browne,M,179,72,Antigua and Barbuda
15608,Clement Adolbert Browne,M,176,,United States
15609,"Daniel ""Dan"" Browne",M,178,66,United States
15610,Dinah Susie Browne,F,165,65,United States Virgin Islands
15611,Grace B.A. Browne,F,,,South Africa
15612,Ian Sterry Browne,M,185,59,Australia
15613,James Browne,M,183,70,Antigua and Barbuda
15614,Marcus Browne,M,188,81,United States
15615,Margaret Fitzhugh Browne,F,,,United States
15616,Milton O. Browne,M,170,60,Barbados
15617,Mitchell Patrick Browne,M,,,Antigua and Barbuda
15618,Pierre Browne,M,175,71,Canada
15619,Vanessa Carol Browne (-Ward),F,170,53,Australia
15620,"Victor George ""Vic"" Browne",M,185,79,Australia
15621,Cecil Le Cronier Browning,M,,,Great Britain
15622,Frederick Arthur Montague Browning,M,,,Great Britain-1
15623,"Gregory Charles ""Greg"" Browning",M,179,71,Australia
15624,Kurt Browning,M,170,65,Canada
15625,"David Greig ""Skippy"" Browning, Jr.",M,,,United States
15626,W. Browning,M,,,Union des Socits Franais de Sports Athletiques
15627,Alistair Edward Brownlee,M,184,70,Great Britain
15628,"Jonathan Callum ""Jonny"" Brownlee",M,181,70,Great Britain
15629,Mark Brownlee,M,188,89,New Zealand
15630,Scott Alexander Brownlee,M,197,96,New Zealand
15631,Jemma Brownlow,F,168,62,Australia
15632,Katharine Charlotte Deirdre Brownlow,F,172,60,Great Britain
15633,"Susannah Claire ""Suki"" Brownsdon",F,168,57,Great Britain
15634,"Edward ""Ed"" Broxterman",M,196,77,United States
15635,Antonn Bro,M,174,78,Czech Republic
15636,Frantiek Bro,M,170,72,Czechoslovakia
15637,Jaroslav Bro,M,183,79,Czechoslovakia
15638,Jaroslav Bro,M,,,Czechoslovakia
15639,Luk Bro,M,186,92,Czech Republic
15640,Ferdinand Broek,M,,,Czechoslovakia
15641,Franciszek Zachariasz  Broek,M,,,Poland
15642,Nina Brozni,F,175,65,Croatia
15643,Ilija Brozovi,M,196,109,Croatia
15644,Miroslav Brozovi,M,,,Yugoslavia
