id,name,sex,height,weight,team
63587,Boris Kozlov,M,,,Soviet Union
63588,Igor Nikolayevich Kozlov,M,163,60,Belarus
63589,Ivan Kozlov,M,178,66,Ukraine
63590,Nikolay Nikolayevich Kozlov,M,192,92,Unified Team
63591,Viktor Nikolayevich Kozlov,M,195,103,Russia
63592,Vitalij Kozlov,M,180,72,Lithuania
63593,Vladimir Yevgenyevich Kozlov,M,182,86,Soviet Union-1
63594,Vladimir Vladimirovich Kozlov,M,183,87,Belarus
63595,Vladimir Kozlov,M,177,80,Soviet Union
63596,Anna A. Kozlova,F,177,62,Unified Team
63597,Todor Gavrilov Kozlovski,M,174,78,Bulgaria
63598,Ondej Kozlovsk,M,180,88,Czech Republic-2
63599,Andrea Kozma,F,168,59,Austria
63600,Dominik Kozma,M,193,90,Hungary
63601,Istvn Kozma,M,198,125,Hungary
63602,Jzsef Kozma,M,190,82,Hungary
63603,Lszl Kozma,M,,,Hungary
63604,Louis Kozma,M,,,Belgium
63605,Mihly Kozma,M,180,78,Hungary
63606,Pter Kozma,M,179,70,Hungary
63607,Gyrgy Kozmann,M,179,85,Hungary
63608,Marek Jan Komiski,M,177,75,Poland
63609,Primo Kozmus,M,188,112,Slovenia
63610,Kristina Lyn Koznick,F,169,75,United States
63611,"Stavroula ""Voula"" Kozomboli",F,180,73,Greece
63612,Alexandru Kozovits,M,,,Romania
63613,Kozin Kozu,M,,,Japan
63614,Masaaki Kozu,M,168,58,Japan
63615,Wojciech Kozub,M,174,69,Poland
63616,Aleksandr Aleksandrovich Kozubovsky,M,198,99,Belarus
63617,Takahiko Kozuka,M,170,58,Japan
63618,Tsuguhiko Kozuka,M,168,63,Japan
63619,Gordan Koulj,M,194,88,Croatia
63620,Igor Vladimirovich Kozyr,M,177,76,Belarus
63621,Valentyna Vasylivna Kozyr (-Avilova),F,170,68,Soviet Union
63622,Aleksandr Sergeyevich Kozyrev,M,173,,Russia
63623,Lyubov Vladimirovna Kozyreva (-Timofeyeva),F,178,78,Soviet Union
63624,Lyubov Vladimirovna Kozyreva-Baranova (-Vatina),F,155,53,Soviet Union
63625,Bogusawa Kozowska-Tomasiak,F,172,73,Poland
63626,Andrzej Kozowski,M,170,75,Poland
63627,Artur Kozowski,M,169,54,Poland
63628,Dariusz Mirosaw Kozowski,M,177,71,Poland
63629,Kacper Kozowski,M,177,70,Poland
63630,Marian Kozowski,M,,,Poland
63631,Rudolf Jzef Kozowski,M,156,60,Poland
